CDARAP|UMISAP|ALIVAP|DSARAP|DSALAP|CISOAP|PRZ1AP|PRZ2AP|PRZ3AP|PRZ4AP|STREAP
END|KG|04|ENDIVIE SALAT|INDIVIA SCAROLA LAV.|IT|3.80|3.80|3.80||1|
ERBKRES|NR|04|ERBSENKRESSE|CRESCIONE PISELLO|IT|17.50|17.50|17.50||1|
ERBSCH|KG|04|ERBSENSCHOTEN|TACCOLE|EC|13.00|13.00|13.00||1|
ERDB|KG|04|ERDBEEREN|FRAGOLE|IT|9.00|9.00|9.00||1|
ESTKE|KG|04|ESTRAGON|DRAGONCELLO|KE|20.00|20.00|20.00||1|
FE|KG|04|FENCHEL|FINOCCHI|IT|2.40|2.40|2.40||1|
FEIEC|KG|04|FEIGEN|FICHI|EC|20.00|20.00|20.00||1|
FEIES|KG|04|FEIGEN|FICHI|ES|7.20|7.20|7.20||1|
FRIG|KG|04|FRIGGITELLI|FRIGGITELLI|IT|5.00|5.00|5.00||1|
FUJI|KG|04|APFEL FUJI|MELE FUJI|IT|1.80|1.80|1.80||1|
GALA|KG|04|APFEL GALA|MELE GALA|IT|1.60|1.60|1.60||1|
GBE|KG|04|GELBE BEETE|RAPE GIALLE|NL|2.80|2.80|2.80||1|
GEN|KG|04|GENTILE SALAT|INSALATA GENTILE|IT|2.50|2.50|2.50||1|
GETAP|KG|04|APFEL GETROCKNET|MELE SECCHE|..|6.00||||1|
GETFEINR|NR|04|FEIGEN GETROCKNET|FICHI SECCHI|..|1.75|1.75|||1|
GETKAS|KG|04|KASTANIEN GETROCKNET|CASTAGNE SECCHE|..|12.00|12.00|12.00||1|
GETMAR|KG|04|MARILLEN GETROCKNET|ALBICOCCHE SECCHE|..|18.00|18.00|18.00||1|
GETTO|KG|04|TOMATEN GETROCKNET|POMODORI SECCHI|..|7.50|7.50|7.50||1|
GETZWE|KG|04|ZWETSCHGEN GETROCKNE|PRUGNE SECCHE|..|8.00|8.00|8.00||1|
GIANT|KG|10|ERDNÜSSE GIANT|ARACHIDI GIANT|..|6.00|6.00|6.00||1|
GIANT500|NR|10|ERDNÜSSE GIANT G.500|ARACHIDI GIANT G.500|..|3.50|3.50|3.50||1|
GRAAP|KG|04|GRANATAPFEL|MELAGRANA|IT|3.30|3.30|3.30||1|
GRUNK|KG|04|GRÜNKOHL|CAVOLO VERDE|NL|4.50|4.50|4.50||1|
GU|KG|04|GURKEN|CETRIOLI|IT|4.00|4.00|4.00||1|
HASGER|KG|10|HASELNÜSSE GERÖSTET|NOCCIOLE TOSTATE|..|18.50|18.50|18.50||1|
HIM|KG|04|HIMBEEREN|LAMPONI|IT|25.00|25.00|25.00||1|
HYPO|NR|04|HYPPO TOPS|HYPPO TOPS|NL|40.00|40.00|40.00||1|
ING|KG|10|INGWER|ZENZERO|EC|5.50|5.50|5.50||1|
KA|KG|04|KAROTTEN|CAROTE|IT|1.38|1.38|1.33||1|
KAGE|KG|04|KAROTTEN GELB|CAROTE GIALLE|NL|3.50|3.50|3.50||1|
KAI|KG|04|BIRNEN KAISER|PERE KAISER|IT|2.80|2.80|2.80||1|
KAII|KG|04|KAROTTEN II|CAROTE II|IT|.58|.58|.58||1|
KAKIVANES|KG|04|VANILLE KAKI|CACHI MELA|ES|4.60|4.60|4.60||1|
KANAP|KG|04|APFEL KANADA|MELE CANADA|IT|2.50|2.50|2.50||1|
KANR|KG|04|KAROTTEN IN SCHALEN|CAROTE IN VASSOIO|IT|1.60|1.60|1.60||1|
KARAM|KG|04|KARAMBOLA|CARAMBOLA|EC|18.00|18.00|18.00||1|
KARF|KG|04|KARFIOL|CAVOLFIORI|IT|2.50|2.50|2.50||1|
KARFGE|KG|04|KARFIOL GELB|CAVOLFIORI GIALLI|IT|4.00|4.00|4.00||1|
KARFVIO|KG|04|KARFIOL VIOLA|CAVOLFIORI VIOLA|IT|4.00|4.00|4.00||1|
KARKON|KG|04|KARTOFFELN VERP.|PATATE CONF.|IT|1.30|1.30|1.60||1|
KARNR|NR|04|PATATINE VERP.|PATATINE CONF.|IT|1.60|1.60|1.60||1|
KARRAC|KG|04|KARTOFFELN RACLETTE|PATATE RACLETTE|FR|2.80|2.80|2.80||1|
KARRAT|KG|04|KARTOFFELN LA RATTE|PATATE LA RATTE|FR|5.00|5.00|5.00||1|
KARVIO|KG|04|KARTOFFELN VIOLETT|PATATE VIOLA|FR|5.00|5.00|5.00||1|
KARWDE|KG|04|KARTOFFELN WEISS|PATATE BIANCHE|DE|.78|.78|.78||1|
KARWNL|KG|04|KARTOFFELN WEISS|PATATE BIANCHE|NL|.85|.85|.85||1|
KAVIO|KG|04|KAROTTEN VIOLETT|CAROTE VIOLA|IT|2.80|2.80|2.80||1|
KEIMENR|NR|04|KEIME|GERMOGLI|IT|4.40|4.40|4.40||1|
KERKE|KG|04|KERBEL|CERFOGLIO|KE|23.00|24.00|23.00||1|
KIWI|KG|04|KIWI|KIWI|IT|3.30|3.30|3.30||1|
KIWIGE|KG|04|KIWI GELB|KIWI GIALLI|EC|8.00|8.00|8.00||1|
KN|KG|04|KNOBLAUCH|AGLIO|IT|8.00|8.00|8.00||1|
KNG|KG|04|KNOBLAUCH GESCH.|AGLIO PELATO||8.00|8.00|8.00||1|
KNR|KG|04|KNOBLAUCH ROT|AGLIO ROSSO|FR|12.00|12.00|12.00||1|
KO|KG|04|KOHLRABI|KOHLRABI|IT|1.90|1.90|1.90||1|
KOKOS|KG|04|KOKOSNÜSSE|NOCI DI COCCO|IT|2.60|2.60|2.50||1|
KORKE|KG|04|KORIANDER|CORIANDOLO|KE|20.00|20.00|20.00||1|
KREN|KG|10|KREN|CREN|DE|8.80|8.80|8.80||1|
KRESATS|NR|04|ATSINA KRESSE|CRESCIONE ATSINA|NL|18.80|18.80|18.80||1|
KRESBAS|NR|04|BASILIKUM KRESSE|CRESCIONE BASILICO|NL|16.00|16.00|16.00||1|
KRESHON|NR|04|HONNY KRESSE|CRESCIONE HONNY||18.00|18.00|17.00||1|
KRESLUP|NR|04|LUPINE KRESSE||NL|18.00|18.00|18.00||1|
KRESMEL|NR|04|MELISSA KRESSE|CRESCIONE MELISSA|NL|18.00|18.00|18.00||1|
KRESNR|NR|04|KRESSE|CRESCIONE|DE|.88|.88|.88||1|
KRESPER|NR|04|PERSINETTE KRESSE|CRESCIONE PERSINETTE|NL|18.00|18.00|18.00||1|
KRESR|NR|04|KRESSE ROT|CRESCIONE ROSSO|NL|17.00|17.00|16.30||1|
KRESTAH|NR|04|TAHOON KRESSE|CRESCIONE TAHOON|NL|18.00|18.00|18.00||1|
KRESZI|NR|04|ZITRONEN KRESSE|LEMON CRESS|NL|14.00|14.00|14.00||1|
KTRPE|KG|04|TRAUBEN KERNLOS|UVA SENZA SEMI|PE|6.00|6.00|6.00||1|
KUR|KG|04|KÜRBISSE|ZUCCHE|IT|1.70|1.80|1.70||1|
KURHOK|KG|04|KÜRBISSE HOKKAIDO|ZUCCHE HOKKAIDO|IT|2.00|2.00|2.00||1|
KURKUMA|KG|10|KURKUMA|KURKUMA|EC|18.00|18.00|18.00||1|
LIM|KG|04|LIMETTEN|LIMES|BR|5.50|5.50|5.50||1|
LINNR|NR|04|LINSEN VERP.|LENTICCHIE CONF.|..|1.55|1.55|1.55||1|
LIT|KG|04|LITSCHIS|LITSCHIS|MG|8.00|8.00|||1|
LITTLE|NR|04|LITTLE GEM|LITTLE GEM|NL|3.50|3.50|3.50||1|
LOL|KG|04|LOLLO SALAT|INSALATA LOLLO|IT|4.40|4.40|4.40||1|
LOR|KG|10|LORBEER|ALLORO|IT|4.00|4.00|4.00||1|
MA|KG|04|MANDARINEN|MANDARINI|IT|2.80|2.80|||1|
MAC|KG|04|KUMQUAT|MANDARINI CINESI|IT|6.00|6.00|6.00||1|
MACED|KG|10|MACEDONIA|MACEDONIA|..|6.50|6.50|6.50||1|
MAI|KG|04|MAIKÖNIG SALAT|LATTUGA CAPPUCCIA|IT|2.80|2.80|2.80||1|
MAIR|KG|04|MAIKÖNIG ROT|LATTUGA ROSSA|IT|3.00||||1|
MAISNR|NR|10|MAIS|MAIS|IT|2.20|2.20|2.20||1|
MAJKE|KG|10|MAJORAN|MAGGIORANA|KE|23.00|23.00|23.00||1|
MAMME|NR|04|MAMME|MAMME|IT|1.40|1.40|1.40||1|
MANGO|KG|04|MANGO FLUG|MANGO VIA AEREA|EC|11.80|12.00|11.80||1|
MANIOC|KG|10|MANIOCA|MANIOCA|EC|4.00||||1|
ME|KG|04|MELANZANE|MELANZANE|IT|4.90|4.90|4.90||1|
MELANG|KG|04|MELANZANE LANG|MELANZANE LUNGHE|IT|4.90|4.90|4.90||1|
MELEC|KG|04|MELONEN|MELONI|EC|2.85|2.85|2.85||1|
MELGE|KG|04|MELONEN GELB|MELONI GIALLI|IT|2.65|2.65|2.65||1|
MELPHY|KG|04|MELONEN CHARENTAIS|MELONI CHARENTAIS|EC|5.80|6.00|5.80||1|
MEVIO|KG|04|MELANZANE VIOLA|MELANZANE VIOLA|IT|4.90|4.90|4.90||1|
MINEC|KG|04|MINZE|MENTA|EC|22.00|22.00|20.00||1|
MIXKG|KG|04|SALAT MIX|INSALATA MIX|IT|4.40|4.40|4.40||1|
MORO|KG|04|MORO ORANGEN|ARANCE MORO|IT|1.60|1.60|1.60||1|
MUSTARD|NR|04|MUSTARD KRESSE|CRESCIONE MUSTARD|NL|14.00|14.00|14.00||1|
NFR|KG|04|NÜSSE|NOCI|FR|5.00|5.00|5.00||1|
NK|KG|04|NUSSKERNE|NOCI SGUSCIATE|EC|18.50|19.00|18.50||1|
OL|NR|04|OLIVENÖL|OLIO D'OLIVA|..|13.50|13.50|13.50||1|
ORIKE|KG|22|ORIGANO|ORIGANO|KE|22.00|22.00|22.00||1|
PAK|KG|04|PAK CHOI|PAKSOI|IT|3.50|3.50|3.50||1|
PAP|KG|04|PAPAYA|PAPAYA|EC|7.00|7.00|7.00||1|
PAPFOR|KG|04|PAPAYA FORMOSA|PAPAYA FORMOSA|EC|7.00|7.00|7.00||1|
PASKG|KG|04|PASSIONSFRUCHT|PASSION FRUIT|EC|9.50|9.50|9.50||1|
PAST|KG|04|PASTINAKEN|PASTINACA|IT|3.00|3.00|3.00||1|
PE|NR|00|PLASTIK STEIGEN RET.|CASSE PLASTICA RESE||1.00|1.00|1.00||1|
PEPCOR|KG|04|PEPERONI CORNETTI|PEPERONI CORNETTI|IT|6.00|6.00|5.50||1|
PEPGEES|KG|04|PEPERONI GELB|PEPERONI GIALLI|ES|5.00|5.00|5.00||1|
